age,weight_kg,height_cm,BMR_mj_perday,sex,less_active_mj,population_mj,more_active_mj,conversion_factor,less_active_kcal,population_kcal,more_active_kcal
1,9.6,76,2.29,1,3.1,3.2,3.3,239.005736,740.92,764.82,788.72
2,12.2,87,3.02,1,4.1,4.2,4.4,239.005736,979.92,1003.82,1051.63
3,14.4,97,3.46,1,4.7,4.9,5,239.005736,1123.33,1171.13,1195.03
4,16.3,104,3.67,1,5.3,5.8,6.3,239.005736,1266.73,1386.23,1505.74
5,18.6,110,3.89,1,5.6,6.2,6.6,239.005736,1338.43,1481.84,1577.44
6,21,117,4.14,1,5.9,6.6,7.1,239.005736,1410.13,1577.44,1696.94
7,23,123,4.34,1,6.2,6.9,7.4,239.005736,1481.84,1649.14,1768.64
8,26,129,4.61,1,6.6,7.3,7.9,239.005736,1577.44,1744.74,1888.15
9,29,134,4.87,1,7,7.7,8.3,239.005736,1673.04,1840.34,1983.75
10,31.5,138,4.83,1,8.1,8.5,9,239.005736,1935.95,2031.55,2151.05
11,34.5,143,5.09,1,8.5,8.9,9.5,239.005736,2031.55,2127.15,2270.55
12,38,149,5.38,1,9,9.4,10,239.005736,2151.05,2246.65,2390.06
13,43,155,5.77,1,9.7,10.1,10.8,239.005736,2318.36,2413.96,2581.26
14,49,164,6.26,1,10.5,11,11.7,239.005736,2509.56,2629.06,2796.37
15,55.5,170,6.75,1,11.3,11.8,12.6,239.005736,2700.76,2820.27,3011.47
16,60.2,173,7.09,1,11.9,12.4,13.2,239.005736,2844.17,2963.67,3154.88
17,64,175,7.36,1,12.3,12.9,13.7,239.005736,2939.77,3083.17,3274.38
18,66.2,176,7.52,1,12.6,13.2,14,239.005736,3011.47,3154.88,3346.08
1,9,74,2.12,2,2.9,3,3.1,239.005736,693.12,717.02,740.92
2,11.5,86,2.78,2,3.8,3.9,4,239.005736,908.22,932.12,956.02
3,13.9,96,3.23,2,4.4,4.5,4.7,239.005736,1051.63,1075.53,1123.33
4,16,103,3.43,2,4.9,5.4,5.8,239.005736,1171.13,1290.63,1386.23
5,18.2,109,3.63,2,5.2,5.7,6.2,239.005736,1242.83,1362.33,1481.84
6,21,117,3.88,2,5.6,6.2,6.6,239.005736,1338.43,1481.84,1577.44
7,23,123,4.07,2,5.8,6.4,6.9,239.005736,1386.23,1529.64,1649.14
8,26,129,4.32,2,6.2,6.8,7.4,239.005736,1481.84,1625.24,1768.64
9,29,134,4.57,2,6.5,7.2,7.8,239.005736,1553.54,1720.84,1864.24
10,32,139,4.63,2,7.8,8.1,8.6,239.005736,1864.24,1935.95,2055.45
11,35.9,144,4.84,2,8.1,8.5,9,239.005736,1935.95,2031.55,2151.05
12,40,149,5.05,2,8.5,8.8,9.4,239.005736,2031.55,2103.25,2246.65
13,46,154,5.34,2,9,9.3,10,239.005736,2151.05,2222.75,2390.06
14,51,160,5.6,2,9.4,9.8,10.4,239.005736,2246.65,2342.26,2485.66
15,53,162,5.7,2,9.6,10,10.6,239.005736,2294.46,2390.06,2533.46
16,55.3,163,5.8,2,9.7,10.1,10.8,239.005736,2318.36,2413.96,2581.26
17,57,163,5.87,2,9.8,10.3,10.9,239.005736,2342.26,2461.76,2605.16
18,57.2,163,5.88,2,9.9,10.3,11,239.005736,2366.16,2461.76,2629.06
